GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO
22300058,MIN,106.0,51.0,18.0,0.423,,,0,OKC,103.0,36.0,22.0,0.411,,,1,1,2023-11-28,2023-11-28,1593.270937,1590.757419,1593.270937,1590.757419,1593.270937,1590.757419,1593.270937,1590.757419,1593.270937,1590.757419
22300059,DAL,121.0,38.0,25.0,0.472,,,0,HOU,115.0,40.0,33.0,0.494,,,1,1,2023-11-28,2023-11-28,1502.135462,1468.870263,1502.135462,1468.870263,1502.135462,1468.870263,1502.135462,1468.870263,1502.135462,1468.870263
22300060,SAC,124.0,46.0,25.0,0.451,,,0,GSW,123.0,52.0,25.0,0.482,,,1,1,2023-11-28,2023-11-28,1551.035469,1532.809446,1551.035469,1532.809446,1551.035469,1532.809446,1551.035469,1532.809446,1551.035469,1532.809446
22300061,DEN,119.0,42.0,29.0,0.527,,,0,LAL,107.0,44.0,23.0,0.456,,,1,1,2023-10-24,2023-10-24,1640.173896,1569.896416,1640.173896,1569.896416,1640.173896,1569.896416,1640.173896,1569.896416,1640.173896,1569.896416
22300062,PHX,108.0,60.0,23.0,0.442,,,0,GSW,104.0,49.0,19.0,0.356,,,1,1,2023-10-24,2023-10-24,,1569.275923,,1569.275923,,1569.275923,,1569.275923,,1569.275923
22300063,CHA,116.0,51.0,34.0,0.5,,,0,ATL,110.0,42.0,24.0,0.419,,,1,1,2023-10-25,2023-10-25,,1524.6111,,1524.6111,,1524.6111,,1524.6111,,1524.6111
22300064,IND,143.0,51.0,38.0,0.523,,,0,WAS,120.0,45.0,28.0,0.458,,,1,1,2023-10-25,2023-10-25,1426.059532,1453.522453,1426.059532,1453.522453,1426.059532,1453.522453,1426.059532,1453.522453,1426.059532,1453.522453
22300065,BOS,108.0,46.0,18.0,0.481,,,0,NYK,104.0,47.0,24.0,0.371,,,1,1,2023-10-25,2023-10-25,1623.942943,1572.619394,1623.942943,1572.619394,1623.942943,1572.619394,1623.942943,1572.619394,1623.942943,1572.619394
22300066,ORL,116.0,57.0,19.0,0.483,,,0,HOU,86.0,31.0,19.0,0.405,,,1,1,2023-10-25,2023-10-25,1462.603429,1372.537474,1462.603429,1372.537474,1462.603429,1372.537474,1462.603429,1372.537474,1462.603429,1372.537474
22300067,CLE,114.0,38.0,25.0,0.468,,,0,BKN,113.0,50.0,30.0,0.5,,,1,1,2023-10-25,2023-10-25,1553.718917,,1553.718917,,1553.718917,,1553.718917,,1553.718917,
